d_theory,vertices,edges,epsilon,time,d_true,recursive_calls,est_matching_size,theory_maximal_matching
2,10,13,0.05,0.0000,2.60,90,8.00,5
2,10,15,0.05,0.0010,3.00,176,10.00,5
2,10,14,0.05,0.0000,2.80,70,8.00,5
2,10,14,0.05,0.0000,2.80,40,8.00,5
2,10,11,0.05,0.0010,2.20,48,8.00,5
2,10,15,0.05,0.0000,3.00,140,8.00,5
2,10,12,0.05,0.0000,2.40,70,8.00,5
2,10,12,0.05,0.0000,2.40,76,10.00,5
2,10,14,0.05,0.0000,2.80,50,8.00,5
2,10,13,0.05,0.0000,2.60,64,10.00,5
2,10,12,0.10,0.0000,2.40,34,8.00,5
2,10,13,0.10,0.0000,2.60,42,10.00,5
2,10,16,0.10,0.0010,3.20,108,8.00,5
2,10,13,0.10,0.0000,2.60,96,10.00,5
2,10,13,0.10,0.0000,2.60,70,8.00,5
2,10,13,0.10,0.0010,2.60,46,8.00,5
2,10,13,0.10,0.0000,2.60,48,8.00,5
2,10,13,0.10,0.0000,2.60,56,8.00,5
2,10,13,0.10,0.0000,2.60,54,8.00,5
2,10,13,0.10,0.0000,2.60,100,6.00,5
2,10,14,0.20,0.0000,2.80,90,8.00,5
2,10,15,0.20,0.0000,3.00,48,10.00,5
2,10,15,0.20,0.0000,3.00,58,10.00,5
2,10,13,0.20,0.0000,2.60,100,10.00,5
2,10,14,0.20,0.0010,2.80,46,8.00,5
2,10,12,0.20,0.0000,2.40,48,8.00,5
2,10,14,0.20,0.0000,2.80,96,8.00,5
2,10,14,0.20,0.0010,2.80,62,8.00,5
2,10,13,0.20,0.0000,2.60,62,8.00,5
2,10,15,0.20,0.0000,3.00,72,8.00,5
2,50,68,0.05,0.0000,2.72,294,44.00,25
2,50,65,0.05,0.0010,2.60,294,48.00,25
2,50,63,0.05,0.0010,2.52,382,42.00,25
2,50,69,0.05,0.0010,2.76,400,40.00,25
2,50,67,0.05,0.0000,2.68,318,44.00,25
2,50,66,0.05,0.0010,2.64,296,42.00,25
2,50,66,0.05,0.0010,2.64,430,40.00,25
2,50,67,0.05,0.0010,2.68,418,40.00,25
2,50,64,0.05,0.0010,2.56,340,44.00,25
2,50,68,0.05,0.0010,2.72,400,44.00,25
2,50,67,0.10,0.0010,2.68,296,42.00,25
2,50,72,0.10,0.0010,2.88,434,38.00,25
2,50,67,0.10,0.0010,2.68,432,42.00,25
2,50,64,0.10,0.0010,2.56,326,42.00,25
2,50,71,0.10,0.0010,2.84,538,42.00,25
2,50,66,0.10,0.0010,2.64,362,40.00,25
2,50,64,0.10,0.0010,2.56,408,40.00,25
2,50,66,0.10,0.0010,2.64,264,38.00,25
2,50,64,0.10,0.0000,2.56,254,42.00,25
2,50,68,0.10,0.0010,2.72,314,40.00,25
2,50,67,0.20,0.0010,2.68,320,42.00,25
2,50,69,0.20,0.0010,2.76,368,44.00,25
2,50,68,0.20,0.0010,2.72,372,42.00,25
2,50,70,0.20,0.0010,2.80,476,38.00,25
2,50,65,0.20,0.0010,2.60,408,38.00,25
